2021-01-24 17:45:46 | Warn | CL | (Client) Connection Failed
2021-01-24 17:45:51 | Debug | CL | (Client) try connect
2021-01-24 17:45:51 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:45:51 | Warn | CL | (Client) Connection Failed
2021-01-24 17:45:54 | Debug | SR | server socket init success
2021-01-24 17:45:56 | Debug | CL | (Client) try connect
2021-01-24 17:45:56 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:45:56 | Debug | CL | (Client) connect success 
2021-01-24 17:45:56 | Error | CL | (Client) recv failed
2021-01-24 17:45:56 | Debug | SR | get socket connection: 0
2021-01-24 17:45:56 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:45:56 | Debug | SR | (Server): free empty socket
2021-01-24 17:45:56 | Debug | CL | (Client) connect success 
2021-01-24 17:45:56 | Debug | SR | get socket connection: 0
2021-01-24 17:45:56 | Error | CL | (Client) recv failed
2021-01-24 17:45:56 | Debug | CL | (Client) connect to 127.0.0.1 1201
2021-01-24 17:45:56 | Debug | SR | get socket connection: 0
